Date|AQSID|Sitename|Parameter name|Reporting units|Value|Averaging period|Data Source
01/01/20|530332004|Kent-James & Central|PM2.5-24hr|UG/M3|2|24|Washington Department of Ecology
01/01/20|530350007|Bremerton-Spruce Ave|PM2.5-24hr|UG/M3|3.4|24|Washington Department of Ecology
01/01/20|530370002|Ellensburg-Ruby St|PM2.5-24hr|UG/M3|6.7|24|Washington Department of Ecology
01/01/20|530410004|Chehalis-Market Blvd|PM2.5-24hr|UG/M3|2.7|24|Washington Department of Ecology
01/01/20|530450007|Shelton-W Franklin|PM2.5-24hr|UG/M3|2.6|24|Washington Department of Ecology
01/01/20|530470009|Twisp-Glover St|PM2.5-24hr|UG/M3|16.3|24|Washington Department of Ecology
01/01/20|530470010|Winthrop-Chewuch Rd|PM2.5-24hr|UG/M3|7.7|24|Washington Department of Ecology
01/01/20|530470013|Omak-Colville Tribe|PM2.5-24hr|UG/M3|16.3|24|Washington Department of Ecology
01/01/20|530530024|Tacoma-S 36th St|PM2.5-24hr|UG/M3|4|24|Washington Department of Ecology
01/01/20|530530029|Tacoma-L St|PM2.5-24hr|UG/M3|2.1|24|Washington Department of Ecology
01/01/20|530530031|Tacoma-Alexander Ave|PM2.5-24hr|UG/M3|2.6|24|Washington Department of Ecology
01/01/20|530531018|Puyallup-128th St|PM2.5-24hr|UG/M3|1.2|24|Washington Department of Ecology
01/01/20|530570011|Anacortes-202 Ave (S|OZONE-1HR|PPB|45|1|Washington Department of Ecology
01/01/20|530570011|Anacortes-202 Ave (S|OZONE-8HR|PPB|41|8|Washington Department of Ecology
01/01/20|530570011|Anacortes-202 Ave (S|PM2.5-24hr|UG/M3|4.1|24|Washington Department of Ecology
01/01/20|530570011|Anacortes-202 Ave (S|SO2-24HR|PPB|0|24|Washington Department of Ecology
01/01/20|530570015|Mt Vernon-2nd Ave |PM2.5-24hr|UG/M3|0|24|Washington Department of Ecology
01/01/20|530579999|Anacortes-Bartholome|PM2.5-24hr|UG/M3|1.3|24|Washington Department of Ecology
