Date|AQSID|Sitename|Parameter name|Reporting units|Value|Averaging period|Data Source
01/01/20|000010102|St. John's|OZONE-1HR|PPB|35|1|Newfoundland & Labrador DEC
01/01/20|000010102|St. John's|OZONE-8HR|PPB|34|8|Newfoundland & Labrador DEC
01/01/20|000010401|Mount Pearl|OZONE-1HR|PPB|27|1|Newfoundland & Labrador DEC
01/01/20|000010401|Mount Pearl|OZONE-8HR|PPB|26|8|Newfoundland & Labrador DEC
01/01/20|000010401|Mount Pearl|PM2.5-24hr|UG/M3|5|24|Newfoundland & Labrador DEC
01/01/20|000010501|Grand Falls Windsor|OZONE-1HR|PPB|41|1|Newfoundland & Labrador DEC
01/01/20|000010501|Grand Falls Windsor|OZONE-8HR|PPB|40|8|Newfoundland & Labrador DEC
01/01/20|000010601|Goose Bay|OZONE-1HR|PPB|34|1|Canadian Air and Precipitation Monitoring Network
01/01/20|000010601|Goose Bay|OZONE-8HR|PPB|36|8|Canadian Air and Precipitation Monitoring Network
01/01/20|000010602|MacPherson Avenue - |PM2.5-24hr|UG/M3|3.3|24|Environment Canada
01/01/20|000010801|Port au Choix|OZONE-1HR|PPB|35|1|Newfoundland & Labrador DEC
01/01/20|000010901|Marystown/Burin|PM2.5-24hr|UG/M3|4.6|24|Environment Canada
01/01/20|000011002|FIREHALL-LABRADORCIT|PM2.5-24hr|UG/M3|2.7|24|Environment Canada
01/01/20|000020104|CHARLOTTETOWN|OZONE-1HR|PPB|27|1|Environment Canada
01/01/20|000020104|CHARLOTTETOWN|OZONE-8HR|PPB|26|8|Environment Canada
01/01/20|000020104|CHARLOTTETOWN|PM2.5-24hr|UG/M3|5.7|24|Environment Canada
01/01/20|000020104|CHARLOTTETOWN|SO2-24HR|PPB|0|24|Environment Canada
01/01/20|000020301|WELLINGTON|OZONE-1HR|PPB|39|1|Environment Canada
01/01/20|000020301|WELLINGTON|OZONE-8HR|PPB|35|8|Environment Canada
01/01/20|000020301|WELLINGTON|PM2.5-24hr|UG/M3|2.5|24|Environment Canada
01/01/20|000020401|SOUTHAMPTON|OZONE-1HR|PPB|45|1|Environment Canada
01/01/20|000020401|SOUTHAMPTON|OZONE-8HR|PPB|37|8|Environment Canada
01/01/20|000030113|JOHNSTON BUILDING -|PM2.5-24hr|UG/M3|4.2|24|Environment Canada
01/01/20|000030201|PORT HAWKESBURY|OZONE-1HR|PPB|45|1|Environment Canada
01/01/20|000030201|PORT HAWKESBURY|OZONE-8HR|PPB|33|8|Environment Canada
01/01/20|000030201|PORT HAWKESBURY|PM2.5-24hr|UG/M3|3.1|24|Environment Canada
01/01/20|000030310|SYDNEY|OZONE-1HR|PPB|42|1|Environment Canada
01/01/20|000030310|SYDNEY|OZONE-8HR|PPB|34|8|Environment Canada
01/01/20|000030310|SYDNEY|PM2.5-24hr|UG/M3|4.2|24|Environment Canada
01/01/20|000030310|SYDNEY|SO2-24HR|PPB|0|24|Environment Canada
01/01/20|000030502|Kejimkujik Site B|OZONE-1HR|PPB|37|1|Canadian Air and Precipitation Monitoring Network
01/01/20|000030502|Kejimkujik Site B|OZONE-8HR|PPB|30|8|Canadian Air and Precipitation Monitoring Network
01/01/20|000030701|AYLESFORD MOUNTAIN|OZONE-1HR|PPB|37|1|Environment Canada
01/01/20|000030701|AYLESFORD MOUNTAIN|OZONE-8HR|PPB|32|8|Environment Canada
01/01/20|000030701|AYLESFORD MOUNTAIN|PM2.5-24hr|UG/M3|2.9|24|Environment Canada
01/01/20|000030901|PICTOU|OZONE-1HR|PPB|41|1|Environment Canada
01/01/20|000030901|PICTOU|OZONE-8HR|PPB|34|8|Environment Canada
01/01/20|000030901|PICTOU|PM2.5-24hr|UG/M3|2.7|24|Environment Canada
01/01/20|000031101|KENTVILLE|OZONE-1HR|PPB|39|1|Environment Canada
01/01/20|000031101|KENTVILLE|OZONE-8HR|PPB|35|8|Environment Canada
01/01/20|000031101|KENTVILLE|PM2.5-24hr|UG/M3|3.5|24|Environment Canada
01/01/20|000040104|FREDERICTON-NEEDHAM |OZONE-1HR|PPB|35|1|Environment Canada
01/01/20|000040104|FREDERICTON-NEEDHAM |OZONE-8HR|PPB|33|8|Environment Canada
01/01/20|000040104|FREDERICTON-NEEDHAM |PM2.5-24hr|UG/M3|2.7|24|Environment Canada
01/01/20|000040203|FOREST HILLS|OZONE-1HR|PPB|35|1|Environment Canada
01/01/20|000040203|FOREST HILLS|OZONE-8HR|PPB|32|8|Environment Canada
01/01/20|000040203|FOREST HILLS|PM2.5-24hr|UG/M3|2.1|24|Environment Canada
01/01/20|000040207|SAINT JOHN WEST|OZONE-1HR|PPB|36|1|Environment Canada
01/01/20|000040207|SAINT JOHN WEST|OZONE-8HR|PPB|32|8|Environment Canada
01/01/20|000040207|SAINT JOHN WEST|PM2.5-24hr|UG/M3|2.2|24|Environment Canada
01/01/20|000040209|CASTLE ST. SAINT JO|PM2.5-24hr|UG/M3|2|24|Environment Canada
01/01/20|000040302|MONCTON|OZONE-1HR|PPB|29|1|Environment Canada
01/01/20|000040302|MONCTON|OZONE-8HR|PPB|28|8|Environment Canada
01/01/20|000040302|MONCTON|PM2.5-24hr|UG/M3|2.5|24|Environment Canada
01/01/20|000040901|ST ANDREWS|OZONE-1HR|PPB|36|1|Environment Canada
01/01/20|000040901|ST ANDREWS|OZONE-8HR|PPB|29|8|Environment Canada
01/01/20|000040901|ST ANDREWS|PM2.5-24hr|UG/M3|2.2|24|Environment Canada
01/01/20|000041302|BATHURST|OZONE-1HR|PPB|43|1|Environment Canada
01/01/20|000041302|BATHURST|OZONE-8HR|PPB|41|8|Environment Canada
01/01/20|000041302|BATHURST|PM2.5-24hr|UG/M3|1.4|24|Environment Canada
01/01/20|000041501|EDMUNDSTON QUEEN ST.|PM2.5-24hr|UG/M3|3.7|24|Environment Canada
01/01/20|000050113|Chomedey|OZONE-1HR|PPB|37|1|Meteorological Service of Canada
01/01/20|000050113|Chomedey|OZONE-8HR|PPB|35|8|Meteorological Service of Canada
01/01/20|000050204|Hull (Ile)|OZONE-1HR|PPB|37|1|Meteorological Service of Canada
01/01/20|000050204|Hull (Ile)|OZONE-8HR|PPB|35|8|Meteorological Service of Canada
01/01/20|000050308|Des Sables|OZONE-1HR|PPB|35|1|Meteorological Service of Canada
01/01/20|000050308|Des Sables|OZONE-8HR|PPB|30|8|Meteorological Service of Canada
01/01/20|000050311|Parc Primavere|OZONE-1HR|PPB|34|1|Environment Canada
01/01/20|000050311|Parc Primavere|OZONE-8HR|PPB|30|8|Environment Canada
01/01/20|000050311|Parc Primavere|PM2.5-24hr|UG/M3|6.4|24|Environment Canada
01/01/20|000050404|Parc Cambron|OZONE-1HR|PPB|30|1|Meteorological Service of Canada
01/01/20|000050404|Parc Cambron|OZONE-8HR|PPB|35|8|Meteorological Service of Canada
01/01/20|000050604|Parc Tremblay|OZONE-1HR|PPB|32|1|Meteorological Service of Canada
01/01/20|000050604|Parc Tremblay|OZONE-8HR|PPB|30|8|Meteorological Service of Canada
01/01/20|000051501|Zephirin|OZONE-1HR|PPB|31|1|Meteorological Service of Canada
01/01/20|000051501|Zephirin|OZONE-8HR|PPB|35|8|Meteorological Service of Canada
01/01/20|000051501|Zephirin|PM2.5-24hr|UG/M3|6.5|24|Meteorological Service of Canada
01/01/20|000052001|Charette|OZONE-1HR|PPB|33|1|Meteorological Service of Canada
01/01/20|000052001|Charette|OZONE-8HR|PPB|29|8|Meteorological Service of Canada
01/01/20|000052201|Brossard|OZONE-1HR|PPB|29|1|Meteorological Service of Canada
01/01/20|000052201|Brossard|OZONE-8HR|PPB|35|8|Meteorological Service of Canada
01/01/20|000052301|Saint-Faustin|OZONE-1HR|PPB|37|1|Meteorological Service of Canada
01/01/20|000052301|Saint-Faustin|OZONE-8HR|PPB|37|8|Meteorological Service of Canada
01/01/20|000052301|Saint-Faustin|PM2.5-24hr|UG/M3|2.7|24|Meteorological Service of Canada
01/01/20|000053201|PEMONCA|OZONE-1HR|PPB|35|1|Meteorological Service of Canada
01/01/20|000053201|PEMONCA|OZONE-8HR|PPB|29|8|Meteorological Service of Canada
01/01/20|000053301|Deschambault|OZONE-1HR|PPB|35|1|Meteorological Service of Canada
01/01/20|000053301|Deschambault|OZONE-8HR|PPB|30|8|Meteorological Service of Canada
01/01/20|000053501|Francois|OZONE-1HR|PPB|39|1|Meteorological Service of Canada
01/01/20|000053501|Francois|OZONE-8HR|PPB|35|8|Meteorological Service of Canada
01/01/20|000053601|N.-D.-du-Rosaire|OZONE-1HR|PPB|33|1|Meteorological Service of Canada
01/01/20|000053601|N.-D.-du-Rosaire|OZONE-8HR|PPB|31|8|Meteorological Service of Canada
01/01/20|000053701|HILAIRE|OZONE-1HR|PPB|28|1|Meteorological Service of Canada
01/01/20|000053701|HILAIRE|OZONE-8HR|PPB|31|8|Meteorological Service of Canada
01/01/20|000053801|Tingwick|OZONE-1HR|PPB|26|1|Meteorological Service of Canada
01/01/20|000053801|Tingwick|OZONE-8HR|PPB|34|8|Meteorological Service of Canada
01/01/20|000053901|Edouard|OZONE-1HR|PPB|32|1|Meteorological Service of Canada
01/01/20|000053901|Edouard|OZONE-8HR|PPB|28|8|Meteorological Service of Canada
01/01/20|000054201|Chapais|OZONE-1HR|PPB|34|1|Canadian Air and Precipitation Monitoring Network
01/01/20|000054201|Chapais|OZONE-8HR|PPB|30|8|Canadian Air and Precipitation Monitoring Network
01/01/20|000054703|Becancour (Arena)|PM2.5-24hr|UG/M3|3.8|24|Meteorological Service of Canada
01/01/20|000054901|Ditton|OZONE-1HR|PPB|28|1|Meteorological Service of Canada
01/01/20|000054901|Ditton|OZONE-8HR|PPB|34|8|Meteorological Service of Canada
01/01/20|000055001|Mont-Saint-Michel|OZONE-1HR|PPB|37|1|Meteorological Service of Canada
01/01/20|000055001|Mont-Saint-Michel|OZONE-8HR|PPB|32|8|Meteorological Service of Canada
01/01/20|000055501|Frelighsburg|OZONE-1HR|PPB|35|1|Canadian Air and Precipitation Monitoring Network
01/01/20|000055501|Frelighsburg|OZONE-8HR|PPB|37|8|Canadian Air and Precipitation Monitoring Network
01/01/20|000060104|Ottawa|OZONE-1HR|PPB|35|1|Ontario Ministry of the Environment
01/01/20|000060104|Ottawa|OZONE-8HR|PPB|32|8|Ontario Ministry of the Environment
01/01/20|000060104|Ottawa|PM2.5-24hr|UG/M3|4.1|24|Ontario Ministry of the Environment
01/01/20|000060204|Windsor Downtown|OZONE-1HR|PPB|29|1|Ontario Ministry of the Environment
01/01/20|000060204|Windsor Downtown|OZONE-8HR|PPB|27|8|Ontario Ministry of the Environment
01/01/20|000060204|Windsor Downtown|PM2.5-24hr|UG/M3|5.6|24|Ontario Ministry of the Environment
01/01/20|000060304|Kingston|OZONE-1HR|PPB|36|1|Ontario Ministry of the Environment
01/01/20|000060304|Kingston|OZONE-8HR|PPB|32|8|Ontario Ministry of the Environment
01/01/20|000060304|Kingston|PM2.5-24hr|UG/M3|3.5|24|Ontario Ministry of the Environment
01/01/20|000060424|Toronto Downtown|OZONE-1HR|PPB|35|1|Ontario Ministry of the Environment
01/01/20|000060424|Toronto Downtown|OZONE-8HR|PPB|30|8|Ontario Ministry of the Environment
01/01/20|000060424|Toronto Downtown|PM2.5-24hr|UG/M3|6.9|24|Ontario Ministry of the Environment
01/01/20|000060512|Hamilton Downtown|OZONE-1HR|PPB|36|1|Ontario Ministry of the Environment
01/01/20|000060512|Hamilton Downtown|OZONE-8HR|PPB|32|8|Ontario Ministry of the Environment
01/01/20|000060512|Hamilton Downtown|PM2.5-24hr|UG/M3|6.4|24|Ontario Ministry of the Environment
01/01/20|000060610|Sudbury|OZONE-1HR|PPB|38|1|Ontario Ministry of the Environment
01/01/20|000060610|Sudbury|OZONE-8HR|PPB|34|8|Ontario Ministry of the Environment
01/01/20|000060610|Sudbury|PM2.5-24hr|UG/M3|2.6|24|Ontario Ministry of the Environment
01/01/20|000060709|Sault Ste Marie|OZONE-1HR|PPB|38|1|Ontario Ministry of the Environment
01/01/20|000060709|Sault Ste Marie|OZONE-8HR|PPB|36|8|Ontario Ministry of the Environment
01/01/20|000060709|Sault Ste Marie|PM2.5-24hr|UG/M3|3.2|24|Ontario Ministry of the Environment
01/01/20|000060904|London|OZONE-1HR|PPB|36|1|Ontario Ministry of the Environment
01/01/20|000060904|London|OZONE-8HR|PPB|33|8|Ontario Ministry of the Environment
01/01/20|000060904|London|PM2.5-24hr|UG/M3|6|24|Ontario Ministry of the Environment
01/01/20|000061009|Sarnia|OZONE-1HR|PPB|39|1|Ontario Ministry of the Environment
01/01/20|000061009|Sarnia|OZONE-8HR|PPB|35|8|Ontario Ministry of the Environment
01/01/20|000061009|Sarnia|PM2.5-24hr|UG/M3|6.4|24|Ontario Ministry of the Environment
01/01/20|000061104|Peterborough|OZONE-1HR|PPB|38|1|Ontario Ministry of the Environment
01/01/20|000061104|Peterborough|OZONE-8HR|PPB|35|8|Ontario Ministry of the Environment
01/01/20|000061104|Peterborough|PM2.5-24hr|UG/M3|1.7|24|Ontario Ministry of the Environment
01/01/20|000061201|Cornwall|OZONE-1HR|PPB|36|1|Ontario Ministry of the Environment
01/01/20|000061201|Cornwall|OZONE-8HR|PPB|33|8|Ontario Ministry of the Environment
01/01/20|000061201|Cornwall|PM2.5-24hr|UG/M3|3.4|24|Ontario Ministry of the Environment
01/01/20|000061302|St. Catharines|OZONE-1HR|PPB|37|1|Ontario Ministry of the Environment
01/01/20|000061302|St. Catharines|OZONE-8HR|PPB|34|8|Ontario Ministry of the Environment
01/01/20|000061302|St. Catharines|PM2.5-24hr|UG/M3|4.5|24|Ontario Ministry of the Environment
01/01/20|000061402|Brantford|OZONE-1HR|PPB|38|1|Ontario Ministry of the Environment
01/01/20|000061402|Brantford|OZONE-8HR|PPB|35|8|Ontario Ministry of the Environment
01/01/20|000061402|Brantford|PM2.5-24hr|UG/M3|5.7|24|Ontario Ministry of the Environment
01/01/20|000061502|Kitchener|OZONE-1HR|PPB|37|1|Ontario Ministry of the Environment
01/01/20|000061502|Kitchener|OZONE-8HR|PPB|33|8|Ontario Ministry of the Environment
01/01/20|000061502|Kitchener|PM2.5-24hr|UG/M3|5.5|24|Ontario Ministry of the Environment
01/01/20|000062001|North Bay|OZONE-1HR|PPB|38|1|Ontario Ministry of the Environment
01/01/20|000062001|North Bay|OZONE-8HR|PPB|34|8|Ontario Ministry of the Environment
01/01/20|000062001|North Bay|PM2.5-24hr|UG/M3|2.9|24|Ontario Ministry of the Environment
01/01/20|000062501|Tiverton|OZONE-1HR|PPB|38|1|Ontario Ministry of the Environment
01/01/20|000062501|Tiverton|OZONE-8HR|PPB|36|8|Ontario Ministry of the Environment
01/01/20|000062501|Tiverton|PM2.5-24hr|UG/M3|3.1|24|Ontario Ministry of the Environment
01/01/20|000063301|Dorset|OZONE-1HR|PPB|41|1|Ontario Ministry of the Environment
01/01/20|000063301|Dorset|OZONE-8HR|PPB|39|8|Ontario Ministry of the Environment
01/01/20|000063301|Dorset|PM2.5-24hr|UG/M3|2.2|24|Ontario Ministry of the Environment
01/01/20|000063701|Grand Bend|OZONE-1HR|PPB|40|1|Ontario Ministry of the Environment
01/01/20|000063701|Grand Bend|OZONE-8HR|PPB|37|8|Ontario Ministry of the Environment
01/01/20|000063701|Grand Bend|PM2.5-24hr|UG/M3|5|24|Ontario Ministry of the Environment
01/01/20|000064001|Experimental Lakes|OZONE-1HR|PPB|34|1|Canadian Air and Precipitation Monitoring Network
01/01/20|000064001|Experimental Lakes|OZONE-8HR|PPB|32|8|Canadian Air and Precipitation Monitoring Network
01/01/20|000064101|Algoma|OZONE-1HR|PPB|40|1|Canadian Air and Precipitation Monitoring Network
01/01/20|000064101|Algoma|OZONE-8HR|PPB|39|8|Canadian Air and Precipitation Monitoring Network
01/01/20|000064401|Egbert|OZONE-1HR|PPB|39|1|Canadian Air and Precipitation Monitoring Network
01/01/20|000064401|Egbert|OZONE-8HR|PPB|36|8|Canadian Air and Precipitation Monitoring Network
01/01/20|000065001|Barrie|OZONE-1HR|PPB|39|1|Ontario Ministry of the Environment
01/01/20|000065001|Barrie|OZONE-8HR|PPB|35|8|Ontario Ministry of the Environment
01/01/20|000065001|Barrie|PM2.5-24hr|UG/M3|5.2|24|Ontario Ministry of the Environment
01/01/20|000065201|Parry Sound|OZONE-1HR|PPB|42|1|Ontario Ministry of the Environment
01/01/20|000065201|Parry Sound|OZONE-8HR|PPB|40|8|Ontario Ministry of the Environment
01/01/20|000065201|Parry Sound|PM2.5-24hr|UG/M3|2|24|Ontario Ministry of the Environment
01/01/20|000065301|Port Stanley|OZONE-1HR|PPB|34|1|Ontario Ministry of the Environment
01/01/20|000065301|Port Stanley|OZONE-8HR|PPB|33|8|Ontario Ministry of the Environment
01/01/20|000065301|Port Stanley|PM2.5-24hr|UG/M3|6.2|24|Ontario Ministry of the Environment
01/01/20|000065401|Belleville|OZONE-1HR|PPB|37|1|Ontario Ministry of the Environment
01/01/20|000065401|Belleville|OZONE-8HR|PPB|33|8|Ontario Ministry of the Environment
01/01/20|000065401|Belleville|PM2.5-24hr|UG/M3|4.7|24|Ontario Ministry of the Environment
01/01/20|000065801|Chatham|OZONE-1HR|PPB|31|1|Ontario Ministry of the Environment
01/01/20|000065801|Chatham|OZONE-8HR|PPB|29|8|Ontario Ministry of the Environment
01/01/20|000065801|Chatham|PM2.5-24hr|UG/M3|5.9|24|Ontario Ministry of the Environment
01/01/20|000065901|Pickle Lake|OZONE-1HR|PPB|31|1|Canadian Air and Precipitation Monitoring Network
01/01/20|000065901|Pickle Lake|OZONE-8HR|PPB|29|8|Canadian Air and Precipitation Monitoring Network
01/01/20|000066101|Bonner Lake|OZONE-1HR|PPB|34|1|Canadian Air and Precipitation Monitoring Network
01/01/20|000066101|Bonner Lake|OZONE-8HR|PPB|31|8|Canadian Air and Precipitation Monitoring Network
01/01/20|000070203|Brandon|PM10-24hr|UG/M3|0|24|Manitoba Conservation Air Quality Section
01/01/20|000070203|Brandon|PM2.5-24hr|UG/M3|4|24|Manitoba Conservation Air Quality Section
01/01/20|000080110|Regina|OZONE-1HR|PPB|27|1|Saskatchewan Environment
01/01/20|000080110|Regina|OZONE-8HR|PPB|25|8|Saskatchewan Environment
01/01/20|000080110|Regina|PM2.5-24hr|UG/M3|6.9|24|Saskatchewan Environment
01/01/20|000080211|Saskatoon|OZONE-1HR|PPB|31|1|Saskatchewan Environment
01/01/20|000080211|Saskatoon|OZONE-8HR|PPB|26|8|Saskatchewan Environment
01/01/20|000080211|Saskatoon|PM2.5-24hr|UG/M3|10.5|24|Saskatchewan Environment
01/01/20|000080402|PRINCE ALBERT|OZONE-1HR|PPB|25|1|Saskatchewan Environment
01/01/20|000080402|PRINCE ALBERT|OZONE-8HR|PPB|23|8|Saskatchewan Environment
01/01/20|000080402|PRINCE ALBERT|PM2.5-24hr|UG/M3|11|24|Saskatchewan Environment
01/01/20|000081001|SPEEDY CREEK|OZONE-1HR|PPB|27|1|Saskatchewan Environment
01/01/20|000081001|SPEEDY CREEK|OZONE-8HR|PPB|26|8|Saskatchewan Environment
01/01/20|000081001|SPEEDY CREEK|PM2.5-24hr|UG/M3|3.8|24|Saskatchewan Environment
01/01/20|000082001|Pinehouse Lake|OZONE-1HR|PPB|26|1|Canadian Air and Precipitation Monitoring Network
01/01/20|000082001|Pinehouse Lake|OZONE-8HR|PPB|23|8|Canadian Air and Precipitation Monitoring Network
01/01/20|000090120|Edmonton South|CO-8hr|PPM|0.64|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090120|Edmonton South|OZONE-1HR|PPB|27|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090120|Edmonton South|OZONE-8HR|PPB|18|8|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090120|Edmonton South|PM2.5-24hr|UG/M3|10.1|24|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090120|Edmonton South|SO2-24HR|PPB|0|24|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090121|Edmonton East|CO-8hr|PPM|0.4|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090121|Edmonton East|OZONE-1HR|PPB|22|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090121|Edmonton East|OZONE-8HR|PPB|16|8|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090121|Edmonton East|PM2.5-24hr|UG/M3|9.6|24|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090121|Edmonton East|SO2-24HR|PPB|0|24|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090130|Edmonton Central|OZONE-1HR|PPB|20|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090130|Edmonton Central|OZONE-8HR|PPB|15|8|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090130|Edmonton Central|PM2.5-24hr|UG/M3|5.6|24|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090133|Edmonton Woodcroft|PM2.5-24hr|UG/M3|9.8|24|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090222|Calgary Northwest|CO-8hr|PPM|0.71|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090222|Calgary Northwest|OZONE-1HR|PPB|29|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090222|Calgary Northwest|OZONE-8HR|PPB|27|8|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090222|Calgary Northwest|PM2.5-24hr|UG/M3|3.3|24|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090228|Calgary Central2|CO-8hr|PPM|0.76|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090228|Calgary Central2|OZONE-1HR|PPB|28|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090228|Calgary Central2|OZONE-8HR|PPB|25|8|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090228|Calgary Central2|PM2.5-24hr|UG/M3|5.5|24|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090302|RED DEER RIVERSIDE D|OZONE-1HR|PPB|24|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090302|RED DEER RIVERSIDE D|OZONE-8HR|PPB|20|8|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090302|RED DEER RIVERSIDE D|PM2.5-24hr|UG/M3|6.8|24|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090402|Medicine Hat - Cresc|OZONE-1HR|PPB|20|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090402|Medicine Hat - Cresc|OZONE-8HR|PPB|14|8|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090402|Medicine Hat - Cresc|PM2.5-24hr|UG/M3|7.8|24|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090502|Lethbridge|OZONE-1HR|PPB|33|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090502|Lethbridge|OZONE-8HR|PPB|37|8|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090502|Lethbridge|PM2.5-24hr|UG/M3|1.4|24|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090601|Fort Saskatchewan|OZONE-1HR|PPB|25|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090601|Fort Saskatchewan|OZONE-8HR|PPB|19|8|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090606|Bruderheim|OZONE-1HR|PPB|25|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090606|Bruderheim|OZONE-8HR|PPB|23|8|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090606|Bruderheim|PM2.5-24hr|UG/M3|13.5|24|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090606|Bruderheim|SO2-24HR|PPB|1|24|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090701|Athabasca Valley|OZONE-1HR|PPB|20|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090701|Athabasca Valley|OZONE-8HR|PPB|16|8|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090701|Athabasca Valley|PM2.5-24hr|UG/M3|8.8|24|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090702|Patricia McInnes|OZONE-1HR|PPB|22|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090702|Patricia McInnes|OZONE-8HR|PPB|16|8|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090702|Patricia McInnes|PM2.5-24hr|UG/M3|9.5|24|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090801|Fort McKay|OZONE-1HR|PPB|15|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090801|Fort McKay|OZONE-8HR|PPB|10|8|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000090801|Fort McKay|PM2.5-24hr|UG/M3|7.9|24|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000091101|Elk Island|OZONE-1HR|PPB|28|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000091101|Elk Island|OZONE-8HR|PPB|25|8|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000091101|Elk Island|PM2.5-24hr|UG/M3|11.5|24|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000091301|Tomahawk|OZONE-1HR|PPB|26|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000091301|Tomahawk|OZONE-8HR|PPB|24|8|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000091301|Tomahawk|PM2.5-24hr|UG/M3|4.2|24|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000091401|Violet Grove|OZONE-1HR|PPB|31|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000091401|Violet Grove|OZONE-8HR|PPB|29|8|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000091501|Beaverlodge|OZONE-1HR|PPB|41|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000091501|Beaverlodge|OZONE-8HR|PPB|40|8|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000091501|Beaverlodge|PM2.5-24hr|UG/M3|0.3|24|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000091601|Carrot Creek|OZONE-1HR|PPB|27|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000091601|Carrot Creek|OZONE-8HR|PPB|18|8|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000091701|Steeper|OZONE-1HR|PPB|39|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000091701|Steeper|OZONE-8HR|PPB|42|8|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000091701|Steeper|PM2.5-24hr|UG/M3|-0|24|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000091701|Steeper|SO2-24HR|PPB|0|24|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
01/01/20|000091801|Fort Chipewyan|OZONE-1HR|PPB|26|1|Alberta Environmental Monitoring and Reporting Agency (AEMERA)
